Year,Status,Origin,Destination,Direction,Total Visits,Sameday Visits,Overnight Visits,Total Expenditures ,Sameday Expenditures,Overnight Expenditures,Change in Total Visits,Change in Sameday Visits,Change in Overnight Visits,Change in Total Expenditures,Change in Sameday Expenditures,Change in Overnight Expenditures
2013,Actual,All Origins,Ontario,Inbound,140846158,,,22844495340,,,-0.004,,,0.036,,
2014,Preliminary,All Origins,Ontario,Inbound,138543469,,,25550888810,,,-0.016,,,0.118,,
2015,Forecast,All Origins,Ontario,Inbound,147174087,,,26158640800,,,0.062,,,0.024,,
2016,Forecast,All Origins,Ontario,Inbound,149377032,,,26651407600,,,0.015,,,0.019,,
2017,Forecast,All Origins,Ontario,Inbound,152481558,,,29295001900,,,0.021,,,0.099,,
2018,Forecast,All Origins,Ontario,Inbound,154666007,,,30677912000,,,0.014,,,0.047,,
2019,Forecast,All Origins,Ontario,Inbound,157290423,,,31798429600,,,0.017,,,0.037,,
2013,Actual,Canada,Ontario,Inbound,128234460,85559920,42674540,15677067116,6775466538,8901600579,0.006,0.002,0.013,-0.007,-0.016,0
2014,Preliminary,Canada,Ontario,Inbound,125862991,83076592,42786398,16969918288,6910438154,10059480134,-0.018,-0.029,0.003,0.082,0.02,0.13
2015,Forecast,Canada,Ontario,Inbound,133326473,90004166,43322307,16958964650,7225023850,9733940800,0.059,0.083,0.013,-0.001,0.046,-0.032
2016,Forecast,Canada,Ontario,Inbound,134033328,89961192,44072136,16608896890,7257987090,9350909800,0.005,0,0.017,-0.021,0.005,-0.039
2017,Forecast,Canada,Ontario,Inbound,136018792,91086742,44932050,18261224230,7411756930,10849467300,0.015,0.013,0.02,0.099,0.021,0.16
2018,Forecast,Canada,Ontario,Inbound,138158116,92336737,45821379,18813101450,7629826650,11183274800,0.016,0.014,0.02,0.03,0.029,0.031
2019,Forecast,Canada,Ontario,Inbound,140242547,93696590,46545958,19118840750,7825008350,11293832400,0.015,0.015,0.016,0.016,0.026,0.01
2013,Actual,Ontario,Ontario,Inbound,122082413,83471512,38610901,13586348260,6577945942,7008402318,0.01,0.006,0.019,0.002,-0.012,0.016
2014,Preliminary,Ontario,Ontario,Inbound,119516492,80986066,38530426,14529927153,6761953916,7767973237,-0.021,-0.03,-0.002,0.069,0.028,0.108
2015,Forecast,Ontario,Ontario,Inbound,126469520,87357030,39112501,14599203000,6964029000,7635174000,0.058,0.079,0.015,0.005,0.03,-0.017
2016,Forecast,Ontario,Ontario,Inbound,126969050,87188940,39780107,14225345000,6970033000,7255312000,0.004,-0.002,0.017,-0.026,0.001,-0.05
2017,Forecast,Ontario,Ontario,Inbound,128790480,88270510,40519973,15742881000,7099743000,8643137000,0.014,0.012,0.019,0.107,0.019,0.191
2018,Forecast,Ontario,Ontario,Inbound,130840150,89510970,41329190,16108308000,7254434000,8853875000,0.016,0.014,0.02,0.023,0.022,0.024
2019,Forecast,Ontario,Ontario,Inbound,132839590,90844740,41994848,16267445000,7414524000,8852921000,0.015,0.015,0.016,0.01,0.022,0
2013,Actual,Other Provinces,Ontario,Inbound,6152047,2088408,4063639,2090718856,197520596,1893198260,-0.071,-0.121,-0.043,-0.064,-0.133,-0.056
2014,Preliminary,Other Provinces,Ontario,Inbound,6346499,2090527,4255972,2439991135,148484238,2291506897,0.032,0.001,0.047,0.167,-0.248,0.21
2015,Forecast,Other Provinces,Ontario,Inbound,6856943,2647136,4209806,2359761600,260994850,2098766800,0.08,0.266,-0.011,-0.033,0.758,-0.084
2016,Forecast,Other Provinces,Ontario,Inbound,7064280,2772252,4292029,2383551800,287954090,2095597800,0.03,0.047,0.02,0.01,0.103,-0.002
2017,Forecast,Other Provinces,Ontario,Inbound,7228309,2816232,4412077,2518344100,312013930,2206330300,0.023,0.016,0.028,0.057,0.084,0.053
2018,Forecast,Other Provinces,Ontario,Inbound,7317957,2825767,4492189,2704792500,375392650,2329399800,0.012,0.003,0.018,0.074,0.203,0.056
2019,Forecast,Other Provinces,Ontario,Inbound,7402959,2851850,4551110,2851395800,410484350,2440911400,0.012,0.009,0.013,0.054,0.093,0.048
2013,Actual,United States,Ontario,Inbound,10615970,5174684,5441286,3154692088,470276937,2684415152,-0.092,-0.109,-0.075,-0.055,0.04,-0.07
2014,Preliminary,United States,Ontario,Inbound,10424299,5070695,5353604,3251043184,543906855,2707136329,-0.018,-0.02,-0.016,0.031,0.157,0.008
2015,Forecast,United States,Ontario,Inbound,11407819,5516621,5891198,3798595700,645261790,3153334300,0.094,0.088,0.1,0.168,0.186,0.165
